train,eval,render,save_video,sleep,eval_episodes,env,td3,num_episode,start_training_steps,writer_freq,subgoal_dim,load_episode,model_save_freq,print_freq,exp_name,model_path,log_path,policy_freq_low,policy_freq_high,buffer_size,batch_size,buffer_freq,train_freq,reward_scaling,date
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210504_210611
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210504_210630
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210504_210743
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210504_210936
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,10,10,0.1,20210504_211115
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,10,10,0.1,20210504_211324
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,10,10,0.1,20210504_211353
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,10,10,0.1,20210504_211444
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,10,10,0.1,20210504_211608
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,10,10,0.1,20210504_212957
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,10,10,0.1,20210504_214017
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,10,10,0.1,20210504_214321
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,500,10,0.1,20210504_214419
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,100,10,0.1,20210504_214450
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,50,10,0.1,20210504_214523
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,50,10,0.1,20210504_214541
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,2,-1,2000,250,,model,log,2,2,200000,10,50,10,0.1,20210504_214615
