Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
14	17.73825	2.9844584	21.178204	13.108233	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.8472874	0.48833922	2.6111207	0.28963998	-0.00031974848	0.009061256	0.07533214	-0.06601574	-4.0978193e-08	-0.015780652	-5.9117156e-11	1.4183774e-05	0.1981853	-0.043675665	8.339044e-05	-1.3390075e-05	0	0	79.0	1.5334201	0.008598297	60000	55.32416009902954
15	17.087124	1.0732574	18.703901	15.692312	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.7704389	0.53104264	2.9139838	-0.15051739	0.00043524374	0.008917764	0.055960555	-0.05652907	-3.7252903e-09	-0.02222656	-1.05501385e-10	3.046525e-05	0.15086669	-0.028031848	8.043175e-05	-1.2642969e-05	0	0	79.0	1.5265863	0.011048322	64000	58.87172794342041
16	16.550344	2.3965747	19.447824	13.641651	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.9092664	0.492066	2.7969835	0.18250301	0.00012967347	0.008137605	0.047065713	-0.072715305	2.2351742e-08	-0.018738603	5.456968e-12	1.9356976e-06	0.110346586	-0.037418976	6.6758854e-05	-1.4611032e-05	0	0	79.0	1.4927351	0.00859073	68000	62.5475640296936
17	17.69365	1.3372711	19.12721	15.509795	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.7898325	0.45230895	2.4706082	0.29920712	0.0008805689	0.0075078886	0.06346726	-0.05099852	1.4901161e-08	-0.018730028	-2.1827873e-11	1.3382247e-05	0.1905672	-0.035197444	6.087969e-05	-8.615282e-06	0	0	79.0	1.4611131	0.0096237175	72000	66.15250897407532
18	17.381294	0.7650991	18.454584	16.334076	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.8821497	0.4699417	2.6744027	0.34464797	0.00050476205	0.00712447	0.04556188	-0.050635695	1.6763806e-08	-0.020304801	-6.184564e-11	1.5072621e-05	0.11457247	-0.028796826	5.2703115e-05	-8.032134e-06	0	0	79.0	1.4149874	0.009437123	76000	69.75572204589844
19	19.313192	1.1179903	21.111813	18.037334	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.865848	0.3537682	2.4131773	0.56074345	-0.00026698352	0.006686334	0.04954658	-0.048321057	-3.3527613e-08	-0.019572923	9.094947e-11	-7.6089964e-06	0.11129028	-0.027835174	4.8973205e-05	-8.410032e-06	0	0	79.0	1.4118838	0.010378632	80000	73.46992206573486
20	19.459848	3.3161247	23.65124	14.8367815	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.9976249	0.41679245	2.7220964	0.5087472	9.8630386e-05	0.006253399	0.053138714	-0.040414352	2.2351742e-08	-0.018369604	1.382432e-10	4.668319e-06	0.14736018	-0.02353207	4.0108305e-05	-6.75424e-06	0	0	79.0	1.3780065	0.009042742	84000	77.14279103279114
21	18.826048	1.8571383	21.51674	16.700785	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.9774317	0.45265368	2.729777	0.47126615	-0.00037460544	0.0063051246	0.045824368	-0.051869493	1.8626451e-08	-0.018570352	4.7293724e-11	-8.245399e-06	0.17188898	-0.013839299	4.1739622e-05	-8.519939e-06	0	0	79.0	1.345168	0.009015396	88000	80.7850592136383
22	18.164167	1.4003123	20.160992	16.444645	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.9496872	0.44583923	2.7055635	0.6073353	0.00015361293	0.0062533496	0.058582086	-0.044785377	-1.4901161e-08	-0.01727341	7.8216544e-11	1.0576388e-05	0.086776845	-0.009753272	4.004314e-05	-8.208481e-06	0	0	79.0	1.333047	0.0080774445	92000	84.53163003921509
23	18.2682	0.9125679	19.509	17.352423	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.9203013	0.4063897	2.5774438	0.561875	-7.968611e-05	0.0060633374	0.062194664	-0.0503308	1.4901161e-08	-0.01786875	-6.730261e-11	1.751284e-05	0.15140921	-0.031881973	3.7137906e-05	-5.952104e-06	0	0	79.0	1.303199	0.009849072	96000	88.06671094894409
