Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
15	2.676712	2.4181302	5.5723996	-0.34665552	117.333336	34.586445	148.0	69.0	1000.0	4039.0	0.08414583333333334	0.021348774	0.64690226	2.5236075	-1.5466721	9.38515	6.074325	26.798573	-0.83176434	-1.4225642e-08	-0.001635288	1.0299683e-07	-0.0022979674	0.3107211	-0.21920253	47.905605	-24.894016	0	0	1.0	1.7794769	0.0027116074	48000	177.70790600776672
16	3.9676445	3.6974611	8.350109	-0.6938778	145.66667	51.87378	208.0	81.0	1000.0	4476.0	0.08776470588235294	0.37440503	0.40352967	1.7156215	-0.680133	14.859034	6.5917897	31.69543	-1.2369671	1.8437703e-08	-0.002352278	8.932749e-08	-0.00037494532	0.2190051	-0.16580307	69.64434	-32.94797	0	0	1.0	1.7789454	0.004010159	51000	188.1157350540161
17	2.9161417	0.96717066	4.2365966	1.947	125.666664	35.036488	175.0	97.0	1000.0	4853.0	0.08987037037037036	0.5203612	0.6241877	2.103458	-0.87382436	13.677003	7.05601	34.08743	2.3306203	2.559026e-08	-0.0025861913	3.9418538e-08	-0.009928024	0.2180618	-0.15398425	64.922295	-40.825264	0	0	1.0	1.7783704	0.0016073767	54000	198.58962297439575
18	8.2073145	3.2662156	12.658066	4.9117255	115.0	31.016125	144.0	72.0	1000.0	5198.0	0.09119298245614035	0.49205962	0.48431918	1.9787556	-0.7054546	9.698687	6.036065	36.417065	-4.8876514	-3.751119e-08	-0.022808244	1.6403199e-07	-0.027657278	0.4052854	-0.24451762	76.77125	-58.51683	0	0	35.0	1.7778503	0.011962331	57000	209.94105410575867
19	8.058467	0.5774785	8.872887	7.5986943	77.666664	26.662498	112.0	47.0	1000.0	5431.0	0.09051666666666666	0.9286408	0.49639487	2.0521722	-0.46159783	10.327412	4.0212903	23.255836	3.3568292	2.2649765e-08	-0.022532957	1.5385946e-07	0.034179524	0.24799268	-0.12979186	50.63949	-35.793278	0	0	40.0	1.7608759	0.011977385	60000	221.2176742553711
20	0.46965095	0.6863591	1.3825761	-0.27239695	176.33333	7.0395703	184.0	167.0	1000.0	5960.0	0.0946031746031746	0.50233763	0.46325937	1.5237923	-0.741779	15.993464	6.6922994	34.640945	0.90309143	8.106232e-09	-0.013774068	5.9127807e-08	0.009377647	0.23717158	-0.19316204	68.669044	-36.281128	0	0	13.0	1.7493944	0.011252009	63000	231.89457511901855
21	6.336698	2.0877929	9.156363	4.16829	114.666664	21.545818	145.0	97.0	1000.0	6304.0	0.09551515151515151	0.33070642	0.39591137	1.1185533	-0.9509652	12.52676	9.045227	35.09521	-10.875992	7.78834e-08	-0.026280783	-1.9900004e-07	0.029969016	0.24759355	-0.14970385	68.93418	-49.04709	0	0	53.0	1.7450516	0.011655862	66000	243.4364972114563
22	4.9319797	2.7779474	8.790646	2.3634973	104.333336	33.038696	151.0	79.0	1000.0	6617.0	0.09589855072463768	0.6378029	0.47045636	1.6653434	-0.68970704	9.537226	5.3153186	27.69989	1.1059552	4.164378e-08	-0.0072062924	1.1444092e-08	0.019772995	0.13564606	-0.068982564	34.885517	-24.118715	0	0	6.0	1.7423428	0.0054166224	69000	253.91747307777405
23	9.136727	3.804739	12.956763	3.9450102	133.33333	35.780193	182.0	97.0	1000.0	7017.0	0.09745833333333333	0.6843379	0.5933752	2.0169904	-0.7173974	12.351452	7.2322917	32.95312	-3.2613173	1.6530354e-08	-0.002287248	-4.8955282e-08	-0.008521125	0.38732162	-0.24140143	60.5415	-40.944847	0	0	1.0	1.7407606	0.0024761616	72000	264.2493681907654
24	9.748292	2.5394437	12.464966	6.355767	113.333336	33.089108	160.0	87.0	1000.0	7357.0	0.09809333333333334	1.0612245	0.61615396	2.8339388	-0.43810087	15.4064865	6.048048	38.379246	3.515173	-5.4041545e-09	-0.0024538925	1.8326442e-07	-0.019854547	0.22356208	-0.16492364	60.44481	-42.445564	0	0	3.0	1.7407039	0.006596184	75000	274.7553770542145
25	7.9445267	1.4630473	9.383569	5.937516	88.0	13.9523	106.0	72.0	1000.0	7621.0	0.09770512820512821	0.89670247	0.5696243	2.1395032	-0.61219555	12.472849	4.470112	31.569775	4.2030764	-2.336502e-08	-0.006557401	-6.437302e-08	0.007966681	0.3118092	-0.2234104	49.58769	-36.31965	0	0	1.0	1.7403297	0.006041844	78000	285.1399312019348
26	7.938675	1.7358867	10.384002	6.5282984	105.333336	15.96524	127.0	89.0	1000.0	7937.0	0.09798765432098766	0.9008314	0.77882206	3.9109514	-0.81063706	9.405151	5.8090944	32.38683	0.36244655	7.629395e-09	-0.0067555485	3.1789146e-08	-0.0059381416	0.39133084	-0.3115104	34.46585	-22.853539	0	0	1.0	1.7397904	0.006122238	81000	295.5129041671753
27	6.5440764	1.1761988	8.073662	5.2132077	160.0	17.66352	184.0	142.0	1000.0	8417.0	0.10020238095238095	0.7914074	0.6089391	2.5279796	-0.5209443	11.829319	5.441614	26.234201	2.20274	-4.2120614e-09	-0.0033964408	4.8955282e-08	0.011584653	0.31457672	-0.23662195	81.27675	-49.3773	0	0	1.0	1.7392886	0.008329256	84000	305.92622923851013
28	10.112718	3.5635695	14.154995	5.485138	79.333336	20.85399	108.0	59.0	1000.0	8655.0	0.09948275862068966	0.90218365	0.5183703	2.0566635	-0.8308544	12.936799	5.8807716	36.70021	3.6670215	-5.8809917e-09	-0.0023318822	-3.973643e-08	-0.008260067	0.470689	-0.384062	57.465557	-46.357616	0	0	1.0	1.7387495	0.0018811253	87000	316.27907133102417
29	8.171765	3.0809944	12.1977	4.7156496	88.666664	19.189117	112.0	65.0	1000.0	8921.0	0.09912222222222222	0.9771831	0.669002	2.9531956	-0.792495	8.0133505	3.1925383	17.501978	0.5091289	3.8146974e-09	-0.0026200197	3.8146972e-08	0.0016002561	0.26741505	-0.21061413	28.8607	-16.496391	0	0	1.0	1.7382396	0.0016219917	90000	326.74598813056946
30	7.7057776	3.0604665	10.918005	3.5875168	100.0	30.50683	134.0	60.0	1000.0	9221.0	0.0991505376344086	0.95296484	0.48471576	2.1705914	-0.4782893	9.417971	4.3862276	28.161066	-0.43344653	4.8001606e-08	-0.0025923178	-1.6466777e-07	0.0041285185	0.22468038	-0.16676557	56.832546	-35.59763	0	0	1.0	1.7377486	0.004481591	93000	337.23736810684204
31	7.5341554	1.6681008	9.29952	5.296314	104.0	3.5590262	107.0	99.0	1000.0	9533.0	0.09930208333333333	0.9738206	0.6186479	2.5388553	-0.2521259	10.610927	5.032183	30.721788	1.3448775	-1.637141e-08	-0.0015598024	1.3573964e-07	-0.0128581375	0.2806438	-0.18675795	30.44163	-19.829557	0	0	1.0	1.7371306	0.0035047412	96000	347.4704430103302
32	10.111918	2.136741	13.081415	8.142344	84.666664	43.65267	143.0	38.0	1000.0	9787.0	0.09885858585858585	0.91810644	0.55552685	2.331021	-0.8745864	10.6119795	3.2152407	20.634583	3.6135461	1.4702479e-09	-0.0034671403	-1.4003118e-07	0.0028041147	0.3919081	-0.2503085	38.64283	-26.935007	0	0	1.0	1.736583	0.0022720287	99000	358.47882103919983
