Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.13544932	0.761974	1.4237738	-0.53357404	125.75	126.84316	275.0	0.0	1000.0	503.0	0.12575	0.104140475	0.27483803	0.864205	-0.95786506	0.8094739	0.43938747	2.1532607	-0.8886768	-1.3038516e-08	-0.04042135	-1.7881393e-07	-0.0019741058	0.09212766	-0.0790147	701.8607	-154.22949	0	0	76.0	1.837877	0.011873493	4000	7.090151071548462
1	-0.32527626	0.564512	0.2513743	-1.2335341	148.5	162.53384	417.0	0.0	1000.0	1097.0	0.137125	0.00066776277	0.13771407	0.5406299	-0.5615829	11.231095	2.1625106	13.058259	-5.1805463	-1.8626451e-09	-0.04066301	-1.1920929e-07	0.01358797	0.0219645	-0.015133055	578.10474	-49.81067	0	0	73.0	1.8248521	0.011965112	8000	11.215682983398438
2	-0.051074535	0.7244393	1.0773674	-0.7214295	175.75	138.6405	360.0	0.0	1000.0	1800.0	0.15	-0.0329578	0.070063524	0.2615519	-0.32895604	13.814491	3.3760843	17.014402	-7.343127	1.6763806e-08	-0.04439179	-1.1920929e-07	0.016877055	0.024796875	-0.013687097	675.6336	-57.505333	0	0	73.0	1.7909092	0.011950276	12000	15.235620021820068
3	0.22798932	0.9386416	1.8395085	-0.5063652	77.5	104.910675	255.0	0.0	1000.0	2110.0	0.131875	0.022710253	0.10092887	0.411456	-0.29178786	18.319107	0.71172816	18.604141	4.679989	0.0	-0.037230905	4.7683716e-07	0.014212392	0.031780194	-0.02018053	404.91644	-94.76636	0	0	62.0	1.7617105	0.012473903	16000	19.214770078659058
4	0.7105416	0.8360002	2.0969079	-0.14125226	17.0	29.444864	68.0	0.0	1000.0	2178.0	0.1089	-0.029367473	0.11896085	0.45494175	-0.5905036	9.005338	0.9881073	10.511128	2.0285637	-1.1175871e-08	-0.03876399	0.0	0.00031977892	0.04612294	-0.034387678	71.81416	-46.539104	0	0	57.0	1.7217569	0.012226076	20000	23.34220576286316
5	0.8200445	0.6640024	1.5941015	0.047891304	83.25	55.467896	142.0	0.0	1000.0	2511.0	0.104625	0.09835616	0.14328596	0.9368662	-0.406871	2.819187	0.9593163	5.5269966	-0.96103597	0.0	-0.040347807	8.940697e-08	0.009544864	0.040102962	-0.024068376	195.24948	-41.70844	0	0	65.0	1.6989949	0.012120662	24000	27.566658973693848
6	1.7254988	0.6435797	2.7271104	0.96553206	131.25	129.409	343.0	0.0	1000.0	3036.0	0.10842857142857143	0.10656856	0.12767807	0.5609376	-0.29298672	8.10517	1.4561231	10.997325	-2.1811981	1.3038516e-08	-0.039832693	0.0	-0.069969274	0.03825856	-0.024209205	474.76135	-87.077614	0	0	62.0	1.677031	0.011984617	28000	32.184661865234375
7	1.7259799	1.3420209	2.697404	-0.5887665	44.5	55.120323	135.0	0.0	1000.0	3214.0	0.1004375	0.16594432	0.14566362	0.73100245	-0.25786987	11.69842	3.6437416	16.291697	-2.9100244	-3.7252903e-09	-0.027711602	-1.1920929e-07	0.019020326	0.06936049	-0.05315966	160.41722	-56.62058	0	0	24.0	1.6625454	0.012110164	32000	36.51909112930298
8	0.04231123	0.6875699	0.76527065	-0.83217376	113.5	143.99567	360.0	0.0	1000.0	3668.0	0.10188888888888889	0.10240816	0.16724052	0.89814025	-0.49531984	4.522619	2.498635	12.52565	-3.6885388	-1.8626451e-08	-0.040897697	4.7683716e-07	-0.07484174	0.06712694	-0.056270607	464.1217	-123.689415	0	0	53.0	1.6464531	0.012132733	36000	41.4405300617218
9	2.170136	2.0884767	4.566128	-1.1244919	31.25	46.397064	111.0	0.0	1000.0	3793.0	0.094825	0.03957249	0.15663004	0.6846736	-0.433512	9.455819	6.2350903	18.368982	-6.9675612	0.0	-0.014480088	2.3841858e-07	-0.005998254	0.14985856	-0.12207915	121.063	-79.51407	0	0	11.0	1.6223769	0.011435648	40000	45.69405198097229
