Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
15	5.600799	2.6948645	11.008743	0.96051234	77.23333	56.474583	226.0	0.0	1000.0	45906.0	0.0956375	0.61719286	0.46732172	2.1097827	-0.30129066	8.793004	5.345606	32.33019	-2.0836694	-1.3224284e-08	-0.0012614715	-4.8828124e-08	-0.001270158	0.16784422	-0.03230557	44.68534	-12.303581	0	0	1.0	1.7830435	0.0007426337	480000	1988.0880777835846
16	7.748332	4.2339635	16.15541	1.3369211	114.066666	49.12361	241.0	18.0	1000.0	49328.0	0.09672156862745097	0.69873387	0.4937087	2.2102416	-0.44504663	10.572944	6.9846106	42.01452	0.19315282	1.2207031e-08	-0.0022917928	-3.4586588e-08	0.0010567444	0.19933337	-0.045257524	43.278477	-11.366482	0	0	1.0	1.7827201	0.002873986	510000	2109.4941985607147
17	7.408243	2.9626114	15.349627	2.1317625	110.46667	30.683039	202.0	55.0	1000.0	52642.0	0.09748518518518519	0.7970107	0.55794495	2.3811235	-0.45928484	11.720609	5.6357665	35.36177	0.29560232	-1.2207031e-08	-0.0013634003	1.6276042e-08	-0.0015727427	0.15264642	-0.02628462	39.723618	-7.0247383	0	0	1.0	1.7823272	0.0016325976	540000	2230.9077219963074
18	6.46344	2.699623	11.753676	1.8256956	102.13333	43.64228	211.0	30.0	1000.0	55706.0	0.09772982456140351	0.7697357	0.51445913	2.2542465	-0.39076498	10.864104	5.523852	37.66844	-0.8767897	1.1444092e-08	-0.00953885	-4.0690104e-08	-0.002046753	0.15802027	-0.034200132	35.680935	-6.3830395	0	0	79.0	1.782122	0.006097332	570000	2365.9588606357574
19	8.533148	2.8725948	14.782105	3.9662354	93.8	45.394127	186.0	0.0	1000.0	58520.0	0.09753333333333333	0.7497983	0.48147598	2.1203887	-0.41476035	10.022546	5.9526896	33.19042	-1.8925731	2.6448568e-08	-0.008564147	-4.0690104e-08	-0.003945587	0.17483377	-0.035474986	35.356903	-6.686407	0	0	79.0	1.7614942	0.005835202	600000	2501.0502235889435
20	10.42362	3.5688293	19.46781	2.0093267	101.2	46.040127	189.0	17.0	1000.0	61556.0	0.09770793650793651	0.9333638	0.5115867	2.4194934	-0.32601783	10.059569	5.549901	34.743412	-0.4274148	-1.6276042e-08	-0.009333801	-4.4759116e-08	-0.006032096	0.22932842	-0.0577946	35.95874	-6.0622272	0	0	79.0	1.7366195	0.006740709	630000	2636.4513454437256
21	11.815858	2.5636694	18.123222	5.8573756	91.166664	32.863438	166.0	19.0	1000.0	64291.0	0.09741060606060606	1.143939	0.56992817	2.6857674	-0.34840462	10.740124	5.32544	36.132324	-1.2179388	1.6276042e-08	-0.008440177	-4.4759116e-08	-0.005197526	0.23049304	-0.041152984	33.315228	-8.153978	0	0	79.0	1.7120913	0.005389912	660000	2771.8592269420624
22	13.839056	2.755807	19.689877	9.078601	93.63333	27.70377	139.0	30.0	1000.0	67100.0	0.0972463768115942	1.3358532	0.5243292	2.493232	-0.2743434	9.585024	4.8692226	37.72947	0.89149165	1.6276042e-08	-0.007727657	-1.2207031e-08	-0.0024250043	0.22767875	-0.04329905	29.766817	-7.2021046	0	0	79.0	1.7011116	0.0062914216	690000	2907.322134256363
23	13.967939	3.5431042	21.597145	6.587118	104.333336	26.436504	146.0	46.0	1000.0	70230.0	0.09754166666666667	1.4328977	0.5496283	2.7325363	-0.31598282	9.78904	5.6740746	34.426353	-0.50482804	-1.2207031e-08	0.008003519	-6.9173176e-08	-0.0053040036	0.20678467	-0.035486728	32.550045	-7.0412197	0	0	6.0	1.6634561	0.014393514	720000	3030.343333721161
24	14.320134	3.339179	19.507175	5.3148518	96.166664	29.489073	151.0	40.0	1000.0	73115.0	0.09748666666666667	1.5138801	0.54201406	2.7897184	-0.2685858	10.708698	4.8975368	31.428907	0.13167232	-1.0172526e-08	0.02224639	4.8828124e-08	0.00051461585	0.21720394	-0.03898765	29.74026	-7.1039505	0	0	1.0	1.6627158	0.04042649	750000	3151.9467735290527
